INFO:root:Topic 0
INFO:root:16145 : 0.000265 
INFO:root:24733 : 0.000265 
INFO:root:38882 : 0.000264 
INFO:root:16848 : 0.000263 
INFO:root:9608 : 0.000263 
INFO:root:899 : 0.000263 
INFO:root:34449 : 0.000263 
INFO:root:24002 : 0.000263 
INFO:root:32861 : 0.000263 
INFO:root:26566 : 0.000262 
INFO:root:12133 : 0.000261 
INFO:root:1747 : 0.000261 
INFO:root:35654 : 0.000260 
INFO:root:20208 : 0.000260 
INFO:root:7542 : 0.000259 
INFO:root:2171 : 0.000259 
INFO:root:663 : 0.000258 
INFO:root:1010 : 0.000257 
INFO:root:25917 : 0.000257 
INFO:root:12626 : 0.000257 
INFO:root:48842 : 0.000257 
INFO:root:34183 : 0.000256 
INFO:root:29779 : 0.000256 
INFO:root:2737 : 0.000255 
INFO:root:14628 : 0.000255 
INFO:root:39051 : 0.000254 
INFO:root:11486 : 0.000254 
INFO:root:19138 : 0.000254 
INFO:root:34483 : 0.000253 
INFO:root:1448 : 0.000252 
INFO:root:27628 : 0.000252 
INFO:root:2269 : 0.000251 
INFO:root:14748 : 0.000249 
INFO:root:9999 : 0.000249 
INFO:root:2879 : 0.000248 
INFO:root:21108 : 0.000248 
INFO:root:1825 : 0.000246 
INFO:root:13504 : 0.000246 
INFO:root:50887 : 0.000246 
INFO:root:34885 : 0.000246 
INFO:root:17867 : 0.000245 
INFO:root:24311 : 0.000244 
INFO:root:45719 : 0.000244 
INFO:root:33878 : 0.000244 
INFO:root:48604 : 0.000244 
INFO:root:18391 : 0.000243 
INFO:root:2836 : 0.000243 
INFO:root:8891 : 0.000241 
INFO:root:1661 : 0.000241 
INFO:root:12852 : 0.000241 
INFO:root:3148 : 0.000241 
INFO:root:2513 : 0.000240 
INFO:root:42588 : 0.000240 
INFO:root:9283 : 0.000239 
INFO:root:17572 : 0.000239 
INFO:root:15565 : 0.000239 
INFO:root:37604 : 0.000239 
INFO:root:30004 : 0.000238 
INFO:root:23606 : 0.000237 
INFO:root:2958 : 0.000237 
INFO:root:16844 : 0.000237 
INFO:root:2841 : 0.000236 
INFO:root:21387 : 0.000236 
INFO:root:14057 : 0.000235 
INFO:root:27317 : 0.000235 
INFO:root:10789 : 0.000233 
INFO:root:27799 : 0.000233 
INFO:root:15136 : 0.000232 
INFO:root:1660 : 0.000232 
INFO:root:33324 : 0.000232 
INFO:root:27905 : 0.000231 
INFO:root:2801 : 0.000231 
INFO:root:9427 : 0.000231 
INFO:root:7970 : 0.000231 
INFO:root:31704 : 0.000230 
INFO:root:28325 : 0.000230 
INFO:root:23085 : 0.000230 
INFO:root:3311 : 0.000230 
INFO:root:18608 : 0.000229 
INFO:root:13054 : 0.000229 
INFO:root:2674 : 0.000229 
INFO:root:2150 : 0.000227 
INFO:root:23390 : 0.000227 
INFO:root:31632 : 0.000227 
INFO:root:42472 : 0.000226 
INFO:root:333 : 0.000225 
INFO:root:32148 : 0.000224 
INFO:root:49880 : 0.000224 
INFO:root:1002 : 0.000224 
INFO:root:3204 : 0.000223 
INFO:root:754 : 0.000223 
INFO:root:34834 : 0.000222 
INFO:root:25974 : 0.000222 
INFO:root:9898 : 0.000222 
INFO:root:24989 : 0.000222 
INFO:root:1929 : 0.000222 
INFO:root:37336 : 0.000222 
INFO:root:1289 : 0.000221 
INFO:root:20674 : 0.000221 
INFO:root:32331 : 0.000220 
INFO:root:20714 : 0.000220 
INFO:root:1656 : 0.000218 
INFO:root:24506 : 0.000218 
INFO:root:1395 : 0.000217 
INFO:root:22181 : 0.000217 
INFO:root:15547 : 0.000216 
INFO:root:36960 : 0.000216 
INFO:root:33905 : 0.000215 
INFO:root:2884 : 0.000215 
INFO:root:1838 : 0.000214 
INFO:root:37471 : 0.000213 
INFO:root:27954 : 0.000213 
INFO:root:13023 : 0.000212 
INFO:root:1143 : 0.000212 
INFO:root:24434 : 0.000212 
INFO:root:50017 : 0.000211 
INFO:root:18175 : 0.000211 
INFO:root:2704 : 0.000211 
INFO:root:35408 : 0.000211 
INFO:root:21192 : 0.000210 
INFO:root:26011 : 0.000210 
INFO:root:8447 : 0.000210 
INFO:root:16875 : 0.000209 
INFO:root:2929 : 0.000208 
INFO:root:22631 : 0.000208 
INFO:root:24485 : 0.000208 
INFO:root:20594 : 0.000208 
INFO:root:3233 : 0.000208 
INFO:root:17105 : 0.000208 
INFO:root:30308 : 0.000207 
INFO:root:40964 : 0.000207 
INFO:root:23873 : 0.000207 
INFO:root:22185 : 0.000206 
INFO:root:32810 : 0.000206 
INFO:root:13581 : 0.000206 
INFO:root:25674 : 0.000206 
INFO:root:16508 : 0.000205 
INFO:root:572 : 0.000205 
INFO:root:2424 : 0.000204 
INFO:root:18964 : 0.000204 
INFO:root:12037 : 0.000203 
INFO:root:10384 : 0.000203 
INFO:root:2279 : 0.000203 
INFO:root:35429 : 0.000203 
INFO:root:33687 : 0.000202 
INFO:root:44962 : 0.000202 
INFO:root:30628 : 0.000202 
INFO:root:31308 : 0.000202 
INFO:root:24467 : 0.000201 
